step,action,reward,episode_return,x,y,vx,vy,angle,angular_velocity,left_contact,right_contact,corridor,hover,controlled_descent,target_zone,safe_landing_angle,both_contact,successful_landing,successful_protocol,task_failed,monitor_progress,monitor_state
31,2,1.2879629727749033,48.18435607701667,-0.08033142238855362,1.0666515827178955,-0.12084700167179108,-0.3287755250930786,-0.1310359537601471,-0.05549846962094307,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,False,False,False,1.0,"@(star(waiting_for_hover:eps)*((hover_match:eps)*app(gen([h],_4148),[0+1])),[_4148=guarded(var(h)<2,star(waiting_for_hover:eps)*((hover_match:eps)*app(gen([h],_4148),[var(h)+1])),app(gen([],star(waiting_for_hover:eps)*(hover_match:eps)*app(gen([],star(waiting_for_descent:eps)*(controlled_descent_match:eps)*star(waiting_for_landing:eps)*(safe_landing_match:eps)*1),[])),[]))])"
32,2,1.3200490986921067,49.50440517570878,-0.08144702762365341,1.0594426393508911,-0.10901147127151489,-0.32062265276908875,-0.13357287645339966,-0.05073854327201843,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,False,False,False,1.0,"@(star(waiting_for_hover:eps)*((hover_match:eps)*app(gen([h],_13076),[0+1])),[_13076=guarded(var(h)<2,star(waiting_for_hover:eps)*((hover_match:eps)*app(gen([h],_13076),[var(h)+1])),app(gen([],star(waiting_for_hover:eps)*(hover_match:eps)*app(gen([],star(waiting_for_descent:eps)*(controlled_descent_match:eps)*star(waiting_for_landing:eps)*(safe_landing_match:eps)*1),[])),[]))])"
33,2,2.2135973184964657,51.71800249420525,-0.08237981796264648,1.0525881052017212,-0.09117653965950012,-0.3048395812511444,-0.13566385209560394,-0.04181947931647301,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,False,False,False,1.0,"@(star(waiting_for_hover:eps)*((hover_match:eps)*app(gen([h],_8458),[0+1])),[_8458=guarded(var(h)<2,star(waiting_for_hover:eps)*((hover_match:eps)*app(gen([h],_8458),[var(h)+1])),app(gen([],star(waiting_for_hover:eps)*(hover_match:eps)*app(gen([],star(waiting_for_descent:eps)*(controlled_descent_match:eps)*star(waiting_for_landing:eps)*(safe_landing_match:eps)*1),[])),[]))])"
34,2,0.3790612579492006,52.097063752154455,-0.08317308127880096,1.0456873178482056,-0.077643021941185,-0.30685558915138245,-0.13734698295593262,-0.03366223722696304,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,False,False,False,1.0,"@(star(waiting_for_hover:eps)*((hover_match:eps)*app(gen([h],_4148),[0+1])),[_4148=guarded(var(h)<2,star(waiting_for_hover:eps)*((hover_match:eps)*app(gen([h],_4148),[var(h)+1])),app(gen([],star(waiting_for_hover:eps)*(hover_match:eps)*app(gen([],star(waiting_for_descent:eps)*(controlled_descent_match:eps)*star(waiting_for_landing:eps)*(safe_landing_match:eps)*1),[])),[]))])"
35,2,1.912413785303056,54.009477537457514,-0.08392705768346786,1.0391720533370972,-0.07347220927476883,-0.2897467315196991,-0.139266237616539,-0.03838517516851425,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,False,False,False,1.0,"@(star(waiting_for_hover:eps)*((hover_match:eps)*app(gen([h],_13076),[0+1])),[_13076=guarded(var(h)<2,star(waiting_for_hover:eps)*((hover_match:eps)*app(gen([h],_13076),[var(h)+1])),app(gen([],star(waiting_for_hover:eps)*(hover_match:eps)*app(gen([],star(waiting_for_descent:eps)*(controlled_descent_match:eps)*star(waiting_for_landing:eps)*(safe_landing_match:eps)*1),[])),[]))])"
36,2,3.1201156884933825,57.1295932259509,-0.08458137512207031,1.0333057641983032,-0.06343146413564682,-0.26091185212135315,-0.1412642002105713,-0.039959318935871124,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,False,False,False,1.0,"@(star(waiting_for_hover:eps)*((hover_match:eps)*app(gen([h],_8458),[0+1])),[_8458=guarded(var(h)<2,star(waiting_for_hover:eps)*((hover_match:eps)*app(gen([h],_8458),[var(h)+1])),app(gen([],star(waiting_for_hover:eps)*(hover_match:eps)*app(gen([],star(waiting_for_descent:eps)*(controlled_descent_match:eps)*star(waiting_for_landing:eps)*(safe_landing_match:eps)*1),[])),[]))])"
37,2,1.2283277009570213,58.35792092690792,-0.08501911163330078,1.0275928974151611,-0.04242884740233421,-0.2540344297885895,-0.14259709417819977,-0.026658037677407265,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,False,False,False,1.0,"@(star(waiting_for_hover:eps)*((hover_match:eps)*app(gen([h],_4148),[0+1])),[_4148=guarded(var(h)<2,star(waiting_for_hover:eps)*((hover_match:eps)*app(gen([h],_4148),[var(h)+1])),app(gen([],star(waiting_for_hover:eps)*(hover_match:eps)*app(gen([],star(waiting_for_descent:eps)*(controlled_descent_match:eps)*star(waiting_for_landing:eps)*(safe_landing_match:eps)*1),[])),[]))])"
38,2,4.220089847401948,62.578010774309874,-0.08523797988891602,1.0227537155151367,-0.020914113149046898,-0.2151648849248886,-0.14357499778270721,-0.019558073952794075,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,False,False,False,1.0,"@(star(waiting_for_hover:eps)*((hover_match:eps)*app(gen([h],_13076),[0+1])),[_13076=guarded(var(h)<2,star(waiting_for_hover:eps)*((hover_match:eps)*app(gen([h],_13076),[var(h)+1])),app(gen([],star(waiting_for_hover:eps)*(hover_match:eps)*app(gen([],star(waiting_for_descent:eps)*(controlled_descent_match:eps)*star(waiting_for_landing:eps)*(safe_landing_match:eps)*1),[])),[]))])"
39,2,0.6457230452865417,63.22373381959642,-0.08535613864660263,1.0180234909057617,-0.010979203507304192,-0.21031001210212708,-0.14440427720546722,-0.016585595905780792,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,False,False,False,1.0,"@(star(waiting_for_hover:eps)*((hover_match:eps)*app(gen([h],_8458),[0+1])),[_8458=guarded(var(h)<2,star(waiting_for_hover:eps)*((hover_match:eps)*app(gen([h],_8458),[var(h)+1])),app(gen([],star(waiting_for_hover:eps)*(hover_match:eps)*app(gen([],star(waiting_for_descent:eps)*(controlled_descent_match:eps)*star(waiting_for_landing:eps)*(safe_landing_match:eps)*1),[])),[]))])"
40,2,1.3092455878280134,64.53297940742443,-0.08531036227941513,1.0135598182678223,0.005037643481045961,-0.19842761754989624,-0.14486846327781677,-0.009283783845603466,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,False,False,False,1.0,"@(star(waiting_for_hover:eps)*((hover_match:eps)*app(gen([h],_4148),[0+1])),[_4148=guarded(var(h)<2,star(waiting_for_hover:eps)*((hover_match:eps)*app(gen([h],_4148),[var(h)+1])),app(gen([],star(waiting_for_hover:eps)*(hover_match:eps)*app(gen([],star(waiting_for_descent:eps)*(controlled_descent_match:eps)*star(waiting_for_landing:eps)*(safe_landing_match:eps)*1),[])),[]))])"
